Date,Name,Type,Country Name,Country Code
2023-11-11,St. Martin's Day,"['Observance', 'Christian']",Germany,DE
2023-11-19,National Day of Mourning,['Observance'],Germany,DE
2023-11-22,Repentance Day,['Observance'],Germany,DE
2023-11-22,Repentance Day,"['Christian', 'Common local holiday']",Germany,DE
2023-11-22,Repentance Day,"['Observance', 'Christian']",Germany,DE
2023-11-26,Sunday of the Dead,['Observance'],Germany,DE
2023-12-03,First Advent Sunday,"['Observance', 'Christian']",Germany,DE
2023-12-06,Saint Nicholas Day,"['Observance', 'Christian']",Germany,DE
2023-12-08,Feast of the Immaculate Conception,"['Observance', 'Christian']",Germany,DE
2023-12-10,Second Advent Sunday,"['Observance', 'Christian']",Germany,DE
2023-12-17,Third Advent Sunday,"['Observance', 'Christian']",Germany,DE
2023-12-19,Remembrance Day for Roma and Sinti killed by Genocide,['Observance'],Germany,DE
2023-12-22T04:27:21+01:00,December Solstice,['Season'],Germany,DE
2023-12-24,Fourth Advent Sunday,"['Observance', 'Christian']",Germany,DE
2023-12-24,Christmas Eve,['Half-day holiday'],Germany,DE
2023-12-25,Christmas Day,"['National holiday', 'Christian']",Germany,DE
2023-12-26,Boxing Day,"['National holiday', 'Christian']",Germany,DE
2023-12-31,New Year's Eve,['Half-day holiday'],Germany,DE
