Date,Name,Type,Country Name,Country Code
2023-10-07,Shemini Atzeret,['Hebrew'],Australia,AU
2023-10-08,Simchat Torah,['Hebrew'],Australia,AU
2023-10-15,International Pregnancy and Infant Loss Remembrance Day,['Observance'],Australia,AU
2023-10-26,Royal Hobart Show,['Local holiday'],Australia,AU
2023-10-31,Halloween,['Observance'],Australia,AU
2023-11-01,All Saints' Day,['Christian'],Australia,AU
2023-11-02,All Souls' Day,['Christian'],Australia,AU
2023-11-06,Recreation Day,['Local holiday'],Australia,AU
2023-11-07,Melbourne Cup Day,['Local holiday'],Australia,AU
2023-11-11,Remembrance Day,['Observance'],Australia,AU
2023-11-12,Diwali/Deepavali,['Observance'],Australia,AU
2023-12-03,First Sunday of Advent,['Observance'],Australia,AU
2023-12-08,Feast of the Immaculate Conception,['Christian'],Australia,AU
2023-12-08,First Day of Hanukkah,['Hebrew'],Australia,AU
2023-12-15,Last day of Hanukkah,['Hebrew'],Australia,AU
2023-12-22T14:27:21+11:00,December Solstice,['Season'],Australia,AU
2023-12-24,Christmas Eve,['Observance'],Australia,AU
2023-12-24,Christmas Eve,['Local holiday'],Australia,AU
2023-12-24,Christmas Eve,['Local holiday'],Australia,AU
2023-12-24,Christmas Eve,['Local holiday'],Australia,AU
2023-12-25,Christmas Day,"['National holiday', 'Christian']",Australia,AU
2023-12-25,Christmas Day,['Local holiday'],Australia,AU
2023-12-26,Boxing Day,"['National holiday', 'Christian']",Australia,AU
2023-12-26,Proclamation Day,['Local holiday'],Australia,AU
2023-12-31,New Year's Eve,['Observance'],Australia,AU
2023-12-31,New Year's Eve,['Local holiday'],Australia,AU
2023-12-31,New Year's Eve,['Local holiday'],Australia,AU
